Taille_mat;Run_ID;Time
2000;1;4.3117
2000;2;4.27961
2000;3;4.31503
2000;4;4.2457
2000;5;4.323
2000;6;4.31929
2000;7;4.9452
2000;8;4.28576
2000;9;4.26802
2000;10;4.27151
2000;11;4.17213
2000;12;4.36857
2000;13;4.20523
2000;14;4.25419
2000;15;4.22041
2000;16;4.30962
2500;1;8.87353
2500;2;9.09028
2500;3;8.96664
2500;4;9.12413
2500;5;9.16247
2500;6;9.06715
2500;7;9.14092
2500;8;8.86243
2500;9;9.13739
2500;10;9.09844
2500;11;9.1128
2500;12;9.17986
2500;13;8.92226
2500;14;9.18098
2500;15;9.15769
2500;16;9.16822
3000;1;13.8469
3000;2;13.7837
3000;3;13.6425
3000;4;13.6578
3000;5;13.6244
3000;6;13.8499
3000;7;13.9107
3000;8;13.6996
3000;9;13.7792
3000;10;13.7938
3000;11;13.4107
3000;12;13.5032
3000;13;13.7952
3000;14;13.9741
3000;15;13.8522
3000;16;13.6676
3500;1;27.476
3500;2;27.4826
3500;3;27.6095
3500;4;27.6546
3500;5;27.6118
3500;6;27.6808
3500;7;27.5242
3500;8;27.867
3500;9;27.4946
3500;10;27.4576
3500;11;27.4492
3500;12;27.4985
3500;13;27.3563
3500;14;27.0975
3500;15;27.8181
3500;16;27.4615
4000;1;48.1303
4000;2;48.2814
4000;3;48.1898
4000;4;48.0321
4000;5;48.2059
4000;6;48.0004
4000;7;48.3422
4000;8;48.8756
4000;9;48.2008
4000;10;48.2631
4000;11;48.1322
4000;12;47.9559
4000;13;49.0969
4000;14;48.0836
4000;15;48.3536
4000;16;48.3028
4500;1;74.4552
4500;2;74.8967
4500;3;74.4493
4500;4;74.0708
4500;5;74.2125
4500;6;73.4555
4500;7;77.0527
4500;8;76.2879
4500;9;73.3096
4500;10;74.6282
4500;11;73.6482
4500;12;76.898
4500;13;77.9075
4500;14;74.1356
4500;15;75.4432
4500;16;75.2073
5000;1;96.8675
5000;2;95.4239
5000;3;95.6505
5000;4;95.1011
5000;5;95.1916
5000;6;95.7689
5000;7;95.0716
5000;8;94.6293
5000;9;94.7446
5000;10;94.5779
5000;11;94.1076
5000;12;95.1162
5000;13;94.1574
5000;14;94.0237
5000;15;95.0578
5000;16;94.2364
